x,y,length_x,length_y
-0.304,0.5205,0.95,0.95
-0.164,76.0205,0.95,0.95
-0.074,10.5005,0.95,0.95
-0.074,20.9005,0.95,0.95
-0.074,31.3505,0.95,0.95
-0.074,42.1505,0.95,0.95
-0.074,52.5005,0.95,0.95
-0.074,63.0005,0.95,0.95
4.966,0.5105,9.84,0.6
5.306,31.5105,9.84,0.6
5.366,31.3405,10.7,0.15
10.836,0.5705,0.95,0.95
10.976,76.0705,0.95,0.95
11.066,10.5505,0.95,0.95
11.066,20.9505,0.95,0.95
11.066,31.4005,0.95,0.95
11.066,42.2005,0.95,0.95
11.066,52.5505,0.95,0.95
11.066,63.0505,0.95,0.95
21.836,0.5705,0.95,0.95
21.976,76.0705,0.95,0.95
22.066,10.5505,0.95,0.95
22.066,20.9505,0.95,0.95
22.066,31.4005,0.95,0.95
22.066,42.2005,0.95,0.95
22.066,52.5505,0.95,0.95
22.066,63.0505,0.95,0.95
27.206,0.5105,9.84,0.6
27.446,31.5105,9.84,0.6
27.756,31.3505,10.67,0.15
32.95274141,26.37159937,0.606227172,8.920416704
32.986,0.5705,0.95,0.95
33.016,5.0605,0.160503289,10.03015158
33.026,5.694362305,0.606227172,8.920416704
33.026,37.2505,0.606227172,8.920416704
33.056,10.5505,0.95,0.95
33.096,36.8605,0.160709386,30.68005049
33.126,47.5305,0.603113647,8.920208897
33.126,76.0705,0.95,0.95
33.216,21.0505,0.95,0.95
33.216,31.4005,0.95,0.95
33.216,42.2005,0.95,0.95
33.216,52.5505,0.95,0.95
33.216,63.0505,0.95,0.95
34.326,52.0105,1,2
37.006,47.2005,1.1,1.1
38.446,31.3505,10.72,0.15
38.596,47.2005,1.1,1.1
38.646,31.5905,9.84,0.6
43.836,0.5705,0.95,0.95
43.976,76.0705,0.95,0.95
44.056,37.0505,0.158438591,9.670127217
44.066,10.5505,0.95,0.95
44.066,20.9505,0.95,0.95
44.066,31.4005,0.95,0.95
44.066,42.2005,0.95,0.95
44.066,52.5505,0.95,0.95
44.066,63.0505,0.95,0.95
44.086,47.4505,0.158351359,9.570127256
47.256,54.1805,0.6,0.75
49.226,55.5205,1.600279157,0.800558459
49.726,54.1805,4.5,0.6
51.826,53.5105,9.900208837,0.603455733
54.836,0.5705,0.95,0.95
54.836,10.5505,0.95,0.95
54.976,76.0705,0.95,0.95
55.066,20.9505,0.95,0.95
55.066,31.4005,0.95,0.95
55.066,42.2005,0.95,0.95
55.066,52.5505,0.95,0.95
55.066,63.0505,0.95,0.95
57.126,34.7105,0.6,37
57.126,53.5105,0.6,0.6
57.726,23.8605,0.6,15.3
57.726,42.3405,0.6,21.75
57.93442676,55.11459764,0.74651718,1.212470156
58.026,56.6805,0.6,2
58.626,56.6805,0.6,2
58.67616999,55.11001897,0.74651718,1.212470156
59.70440735,58.67290871,4.873743149,0.69413222
60.206,0.4505,9.84,0.6
60.91055699,55.09628299,0.74651718,1.212470156
61.026,56.6805,0.6,2
61.626,56.6805,0.6,2
61.6591682,55.09399366,0.74651718,1.212470156
62.976,54.1805,23.50041315,0.616405905
63.8935552,55.09170433,0.74651718,1.212470156
64.026,56.6805,0.6,2
64.626,56.6805,0.6,2
64.63758776,55.08712566,0.74651718,1.212470156
65.60172385,58.709538,4.873743149,0.69413222
65.78750783,56.13005566,16.85177722,0.673258444
65.836,0.5705,0.95,0.95
65.976,76.0705,0.95,0.95
66.066,10.5505,0.95,0.95
66.066,20.9505,0.95,0.95
66.066,31.4005,0.95,0.95
66.066,42.2905,0.95,0.95
66.066,52.5505,0.95,0.95
66.066,63.0505,0.95,0.95
66.91547205,55.082547,0.74651718,1.212470156
67.026,56.6805,0.6,2
67.626,56.6805,0.6,2
67.6595046,55.07796834,0.74651718,1.212470156
69.93967822,55.07796834,0.74651718,1.212470156
70.026,56.6805,0.6,2
70.626,56.6805,0.6,2
70.68600011,55.07567901,0.74651718,1.212470156
71.446,31.5105,9.84,0.6
71.506,31.0105,10.2,0.15
71.99353584,58.77363927,4.873743149,0.69413222
72.9272551,55.08025767,0.74651718,1.212470156
73.026,56.6805,0.6,2
73.626,56.6805,0.6,2
73.67815565,55.07796834,0.74651718,1.212470156
76.986,0.5705,0.95,0.95
77.01611211,5.634611946,0.600000016,8.920000001
77.026,36.7505,0.600000016,8.920000001
77.106,31.2405,20.96,0.15
77.116,5.1205,0.151771525,10.15002603
77.126,26.0005,0.600000016,8.920000001
77.126,47.6705,0.600000016,8.920000001
77.126,76.0705,0.95,0.95
77.166,47.3705,0.156562384,9.400102429
77.216,10.5505,0.95,0.95
77.216,21.0505,0.95,0.95
77.216,31.4005,0.95,0.95
77.216,42.2005,0.95,0.95
77.216,52.5505,0.95,0.95
77.216,63.0505,0.95,0.95
82.406,31.5105,9.84,0.6
82.646,31.1905,9.9,0.15
87.836,0.5705,0.95,0.95
87.976,76.0705,0.95,0.95
88.066,10.5505,0.95,0.95
88.066,20.9505,0.95,0.95
88.066,31.4005,0.95,0.95
88.066,42.2005,0.95,0.95
88.066,52.5505,0.95,0.95
88.066,63.0505,0.95,0.95
98.976,76.0705,0.95,0.95
99.066,10.5505,0.95,0.95
99.066,20.9505,0.95,0.95
99.066,31.4005,0.95,0.95
99.066,42.2005,0.95,0.95
99.066,52.5505,0.95,0.95
99.066,63.0505,0.95,0.95
104.046,0.4105,9.84,0.6
104.446,31.5105,9.84,0.6
109.696,0.5205,0.95,0.95
109.836,76.0205,0.95,0.95
109.926,10.5005,0.95,0.95
109.926,20.9005,0.95,0.95
109.926,31.3505,0.95,0.95
109.926,42.1505,0.95,0.95
109.926,52.5005,0.95,0.95
109.926,63.0005,0.95,0.95
38.566,69.0505,11.5,15.01
77.27442314,36.37743207,0.156562384,9.400102429
77.22795608,26.21249919,0.156562384,9.400102429
99.976,61.4105,2.5,1.1
105.476,61.4105,2.5,1.1
87.256,32.6105,2.5,1.1
84.826,32.6005,2.4,1.1
82.526,32.6205,2.4,1.1
80.206,32.6105,2.4,1.1
78.216,34.4905,1.1,2.5
78.216,36.9905,1.1,2.5
78.216,39.5305,1.1,2.5
78.236,42.0305,1.1,2.5
78.236,44.4905,1.1,2.5
78.236,47.0305,1.1,2.5
78.236,49.5305,1.1,2.5
81.956,37.1705,1.1,2.5
81.956,39.6705,1.1,2.5
81.956,42.2105,1.1,2.5
81.976,44.7105,1.1,2.5
81.976,47.1705,1.1,2.5
81.976,49.7105,1.1,2.5
81.976,52.2105,1.1,2.5
81.976,54.6905,1.1,2.5
81.976,57.2305,1.1,2.5
82.096,62.7105,5.25,1.1
83.056,37.1905,1.1,2.5
83.056,39.6905,1.1,2.5
83.056,42.2305,1.1,2.5
83.076,44.7305,1.1,2.5
83.076,47.1905,1.1,2.5
83.076,49.7305,1.1,2.5
83.076,52.2305,1.1,2.5
83.076,54.7005,1.1,2.5
83.076,57.2505,1.1,2.5
86.856,37.1705,1.1,2.5
