x,y,unixtime
43.266499,46.119538,1520990043
43.258298,46.001925,1520990043
43.207813,45.277895,1520990044
43.182396,44.913378,1520990045
43.143428,44.354507,1520990046
43.106146,43.819826,1520990047
43.076309,43.391914,1520990048
43.030128,42.729611,1520990049
43.001629,42.320884,1520990050
42.953529,41.631054,1520990051
42.928984,41.279049,1520990052
42.87786,40.545843,1520990053
42.852734,40.185497,1520990054
42.802075,39.458965,1520990055
42.777821,39.11113,1520990056
42.725999,38.367915,1520990057
42.704944,38.065958,1520990059
42.64969,37.273529,1520990060
42.631079,37.006606,1520990061
42.573964,36.187485,1520990062
42.559074,35.973946,1520990063
42.497597,35.092264,1520990064
42.484917,34.910423,1520990065
42.42251,34.015395,1520990066
42.412331,33.869422,1520990067
42.346085,32.919341,1520990068
42.338931,32.816742,1520990069
42.269602,31.822453,1520990070
42.26617,31.773239,1520990071
42.193817,30.735574,1520990072
42.193002,30.723896,1520990073
42.119369,29.66788,1520990074
42.117683,29.64369,1520990075
42.047132,28.631884,1520990076
42.041839,28.555977,1520990077
41.972975,27.568361,1520990078
41.965589,27.462426,1520990079
41.899749,26.518184,1520990080
41.88928,26.36804,1520990081
41.826,25.4605,1520990082
41.826,25.4605,1520990083
41.771167,25.499086,1520990084
41.755608,25.510035,1520990085
41.70539,25.545374,1520990086
41.685699,25.55923,1520990087
41.6387,25.592304,1520990088
41.615683,25.608501,1520990089
41.572224,25.639083,1520990090
41.545452,25.657923,1520990091
41.505427,25.686088,1520990092
41.475221,25.707344,1520990093
41.439059,25.732792,1520990094
41.40499,25.756766,1520990095
41.373013,25.779268,1520990096
41.334276,25.806528,1520990097
41.306967,25.825745,1520990098
41.263938,25.856025,1520990099
41.241029,25.872147,1520990100
41.194244,25.905069,1520990102
41.172568,25.920322,1520990103
41.124174,25.954378,1520990104
41.104376,25.968309,1520990105
41.05405,26.003724,1520990106
41.037418,26.015428,1520990107
40.984141,26.052919,1520990108
40.970353,26.062622,1520990109
40.913857,26.102379,1520990110
40.902751,26.110194,1520990111
40.844216,26.151385,1520990112
40.835846,26.157275,1520990113
40.773717,26.200996,1520990114
40.769425,26.204016,1520990115
40.703754,26.250229,1520990116
40.703218,26.250606,1520990117
40.635133,26.298518,1520990118
40.633738,26.299499,1520990119
40.568979,26.34507,1520990120
40.563883,26.348657,1520990121
40.502504,26.391849,1520990122
40.493866,26.397927,1520990123
40.435278,26.439156,1520990124
40.423421,26.4475,1520990125
40.368266,26.486313,1520990126
40.352814,26.497186,1520990127
40.300932,26.533696,1520990128
40.282744,26.546495,1520990129
40.232901,26.581569,1520990130
40.212728,26.595765,1520990131
40.165675,26.628877,1520990132
40.142926,26.644885,1520990133
40.099039,26.675769,1520990134
40.072481,26.694458,1520990135
40.032939,26.722284,1520990136
40.002304,26.743842,1520990137
39.96582,26.769516,1520990138
39.932287,26.793113,1520990139
39.897682,26.817465,1520990140
39.862056,26.842534,1520990141
39.830187,26.864961,1520990142
39.791504,26.892183,1520990144
39.763497,26.911891,1520990145
39.721112,26.941718,1520990146
39.697344,26.958443,1520990147
39.651364,26.9908,1520990148
39.63119,27.004996,1520990149
39.581401,27.040033,1520990150
39.564501,27.051926,1520990151
39.511546,27.08919,1520990152
39.496416,27.099837,1520990153
39.441315,27.138612,1520990154
39.428975,27.147296,1520990155
39.371138,27.187996,1520990156
39.361319,27.194905,1520990157
39.300638,27.237606,1520990158
39.294683,27.241797,1520990159
39.230676,27.286839,1520990160
39.227188,27.289293,1520990161
39.160177,27.33645,1520990162
39.094882,27.382398,1520990163
39.090536,27.385456,1520990164
39.027172,27.430045,1520990165
39.020198,27.434954,1520990166
38.95957,27.477617,1520990167
38.949913,27.484413,1520990168
38.891861,27.525264,1520990169
38.880004,27.533608,1520990170
38.824045,27.572987,1520990171
38.810041,27.582841,1520990172
38.756335,27.620634,1520990173
38.73965,27.632376,1520990174
38.688304,27.668508,1520990175
38.669311,27.681873,1520990176
